tg_id;id;balance_ap;15353931;20000000;pos
642946019;65285;3413;0,000222288;4445,767016;192
6611940895;8291;3410;0,000222093;4441,859222;193
5389011927;7373;3404;0,000221702;4434,043634;194
116508316;100780;3403;0,000221637;4432,741036;195
337533512;28509;3399;0,000221377;4427,530643;196
1359171997;37701;3393;0,000220986;4419,715055;197
2134602227;37489;3390;0,00022079;4415,807261;198
342293333;4542;3386;0,00022053;4410,596869;199
1206773373;22677;3385;0,000220465;4409,294271;200
333022299;298;3382;0,000220269;4405,386477;201
5174867006;363;3382;0,000220269;4405,386477;202
94883128;7147;3377;0,000219944;4398,873487;203
223229417;13947;3370;0,000219488;4389,755301;204
688864031;48207;3360;0,000218836;4376,729321;205
499195587;49228;3344;0,000217794;4355,887753;206
6010978749;124215;3330;0,000216883;4337,651381;207
5452619453;59757;3325;0,000216557;4331,138391;208
152299524;7981;3317;0,000216036;4320,717606;209
973847769;36726;3313;0,000215775;4315,507214;210
681598350;39455;3310;0,00021558;4311,59942;211
1147836539;15638;3309;0,000215515;4310,296822;212
1068285720;6441;3303;0,000215124;4302,481234;213
736305552;41412;3303;0,000215124;4302,481234;214
257380857;2700;3302;0,000215059;4301,178636;215
143444072;11813;3300;0,000214929;4298,57344;216
698957173;49147;3293;0,000214473;4289,455254;217
196309522;53150;3287;0,000214082;4281,639666;218
764704245;6426;3286;0,000214017;4280,337068;219
7197982322;47755;3281;0,000213691;4273,824078;220
153634904;42675;3277;0,000213431;4268,613686;221
7299527317;91808;3275;0,0002133;4266,00849;222
5056388693;88913;3270;0,000212975;4259,4955;223
5188765334;10167;3265;0,000212649;4252,98251;224
2095574117;39974;3258;0,000212193;4243,864324;225
6495294597;61840;3255;0,000211998;4239,95653;226
353214828;64572;3252;0,000211802;4236,048736;227
590395952;88348;3250;0,000211672;4233,44354;228
6027620320;75981;3248;0,000211542;4230,838344;229
7273734874;30281;3246;0,000211412;4228,233148;230
606236346;53296;3245;0,000211347;4226,93055;231
849403892;62156;3245;0,000211347;4226,93055;232
2121258211;60146;3237;0,000210825;4216,509765;233
5149265713;213072;3232;0,0002105;4209,996775;234
7195657356;82189;3227;0,000210174;4203,483785;235
5383988542;99334;3199;0,000208351;4167,011041;236
465791701;4326;3197;0,00020822;4164,405845;237
695730393;64382;3194;0,000208025;4160,498051;238
6091832110;22914;3184;0,000207374;4147,472071;239
586567028;58797;3170;0,000206462;4129,235699;240
6433025296;22763;3169;0,000206397;4127,933101;241
510132901;8626;3168;0,000206332;4126,630503;242
6444479274;2523;3167;0,000206266;4125,327905;243
265728034;54199;3165;0,000206136;4122,722709;244
7372597730;52701;3161;0,000205876;4117,512317;245
5112340281;12918;3156;0,00020555;4110,999326;246
379059241;114105;3156;0,00020555;4110,999326;247
955225271;48600;3151;0,000205224;4104,486336;248
828691442;113619;3146;0,000204899;4097,973346;249
716894988;3222;3141;0,000204573;4091,460356;250
6800620500;140106;3135;0,000204182;4083,644768;251
7359671059;16164;3130;0,000203857;4077,131778;252
6811635311;65490;3127;0,000203661;4073,223984;253
5125475164;19333;3125;0,000203531;4070,618788;254
6978517433;43287;3123;0,000203401;4068,013592;255
887724225;41696;3115;0,00020288;4057,592808;256
1335021013;43667;3113;0,000202749;4054,987612;257
251135544;44230;3111;0,000202619;4052,382416;258
5608345057;27857;3109;0,000202489;4049,77722;259
570321817;453;3108;0,000202424;4048,474622;260
547121260;22438;3088;0,000201121;4022,422662;261
6704045892;9315;3086;0,000200991;4019,817466;262
7348757704;52867;3086;0,000200991;4019,817466;263
5414525842;15744;3067;0,000199753;3995,068103;264
394788751;35520;3064;0,000199558;3991,160309;265
441559671;107739;3063;0,000199493;3989,857711;266
519054786;69673;3062;0,000199428;3988,555113;267
1432671239;4971;3061;0,000199363;3987,252515;268
5482430833;26975;3059;0,000199232;3984,647319;269
896556292;170240;3056;0,000199037;3980,739525;270
6973667017;38619;3053;0,000198842;3976,831731;271
890253961;50257;3052;0,000198776;3975,529133;272
551703511;41164;3045;0,000198321;3966,410947;273
355875182;88129;3043;0,00019819;3963,805751;274
1206648517;214474;3040;0,000197995;3959,897957;275
7031264284;44243;3038;0,000197865;3957,292761;276
6055750128;21517;3033;0,000197539;3950,779771;277
1533742874;87978;3033;0,000197539;3950,779771;278
